BEGIN_YEAR,BEGIN_MONTH,BEGIN_DAY,EVENT_ID,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,FLOOD_CAUSE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
2019,02,22,799717,February,Flash Flood,0,0,0,0,15.00K,0.00K,Heavy Rain,CALEDONIA,33.7,-88.34,33.6943,-88.337
2019,02,22,799382,February,Flash Flood,0,0,0,0,10.00K,0.00K,Heavy Rain,DERMOTT,33.52,-91.43,33.5183,-91.4389
2019,02,22,799380,February,Flash Flood,0,0,0,0,20.00K,0.00K,Heavy Rain,CROSSETT MUNI ARPT,33.17,-91.82,33.1529,-91.8109
2019,02,22,799383,February,Flash Flood,0,0,0,0,15.00K,0.00K,Heavy Rain,PORTLAND,33.23,-91.49,33.1945,-91.4884
2019,02,22,811560,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,NITRATE CITY,34.75,-87.56,34.7545,-87.5669
2019,02,22,811562,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,ZIP CITY,34.96,-87.65,34.9402,-87.664
2019,02,22,811565,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,PRITTON,34.98,-87.56,34.969,-87.5695
2019,02,23,810973,February,Flash Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,HOHENWALD BAKER ARPT,35.6028,-87.6356,35.4645,-87.6397
2019,02,23,810974,February,Flash Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,BERRY HILL,36.0846,-86.7664,36.0802,-86.7674
2019,03,13,811831,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,AMES ARPT,42.01,-93.62,41.8,-93.52
2019,03,14,811832,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,GILBERT,42.1,-93.62,42.07,-93.65
2019,03,13,813027,March,Flood,0,0,0,0,100.00K,100.00K,Heavy Rain / Snow Melt,ATCHISON,39.6041,-95.0304,39.4331,-94.9606
2019,03,1,807200,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,WICKLIFFE,36.9564,-89.0991,36.9434,-89.0988
2019,03,6,801324,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,EAST POTERVILLE,36.07,-118.98,36.0686,-118.9802
2019,03,14,807432,March,Flash Flood,0,0,0,0,10.00K,0.00K,Heavy Rain,HENDERSON,37.8303,-87.5516,37.8618,-87.5422
2019,02,14,810219,February,Flash Flood,0,0,0,0,5.00M,0.00K,Heavy Rain,RUNNING SPGS,34.2036,-117.1155,34.194,-117.0986
2019,02,14,810206,February,Flash Flood,0,0,0,0,10.00M,0.00K,Heavy Rain / Burn Area,VALLE VISTA,33.7467,-116.9075,33.6868,-116.7603
2019,02,22,799381,February,Flash Flood,0,0,0,0,50.00K,0.00K,Heavy Rain,JENNIE,33.24,-91.29,33.395,-91.34
2019,02,22,799384,February,Flood,0,0,0,0,10.00K,0.00K,Heavy Rain,FOUNTAIN HILL,33.34,-91.89,33.3503,-91.8909
2019,02,20,810950,February,Flash Flood,0,0,0,0,20.00K,0.00K,Heavy Rain,BINGHAM,35.9254,-86.9739,35.8959,-86.9418
2019,02,22,811566,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,REDSTONE AAF,34.67,-86.72,34.6745,-86.7171
2019,02,22,811567,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,NEBO,34.775999999999996,-86.8027,34.7713,-86.8041
2019,02,22,811568,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,COLBERT HGTS,34.67,-87.77,34.595,-87.8063
2019,02,23,811288,February,Flash Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,FOREST HOME,36.03,-86.93,35.8733,-87.0278
2019,02,23,811289,February,Flash Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,WATER VLY,35.7471,-87.1741,35.5228,-87.3584
2019,03,15,811834,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,GALESBURG,41.42,-92.87,41.51,-92.87
2019,03,14,811835,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,ONTARIO,42.07,-93.69,42.01,-93.65
2019,03,1,807199,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,BERKELEY,36.7666,-89.1173,36.9375,-89.0675
2019,03,1,807198,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,HICKMAN,36.57,-89.18,36.5355,-89.2834
2019,03,1,807197,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,SOUTH COLUMBUS,36.75,-89.0458,36.62,-89.04799999999999
2019,03,27,816039,March,Flash Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,BELLA VISTA,40.63,-122.26,40.6161,-122.2743
2019,03,27,816040,March,Flash Flood,0,0,0,0,1.00K,0.00K,Heavy Rain,BELLA VISTA,40.63,-122.26,40.6157,-122.2739
2019,03,27,816041,March,Flash Flood,0,0,0,0,1.00K,0.00K,Heavy Rain,BELLA VISTA,40.63,-122.26,40.6153,-122.2743
2019,03,27,816042,March,Flash Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,BELLA VISTA,40.64,-122.23,40.6135,-122.2408
2019,03,27,816043,March,Flash Flood,0,0,0,0,25.00K,0.00K,Heavy Rain,BELLA VISTA,40.64,-122.24,40.6379,-122.2418
2019,03,6,801325,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,CHEROKEE STRIP,35.441,-119.2538,35.442,-119.2539
2019,03,15,811807,March,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain / Snow Melt,LANYON,42.0,-93.97,41.98,-93.87
2019,02,22,811569,February,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,HOBGOOD SIDING,34.73,-87.64,34.7167,-87.6403
